surveyId,predictions
642,254 540 581 843 958 963 1086 1716 1964 2025 2211 2885 3161 3958 4077 4397 4483 4492 4499 4638 4854 6788 6962 7121 7739 7760 7880 7942 7999 8431 8439 8746 8807 8818 9024 9072 9341 9465 9669 9707 9816 9881 10073 10113 10223 10317 10600 11140 11195
1792,146 262 838 1015 1092 1254 1539 1626 1668 2019 2492 2753 3177 3419 3451 3457 3744 3958 4258 5301 5412 5483 5557 5745 6067 6603 6925 7006 7571 7588 7788 7971 8106 8208 8340 8424 8807 9190 9261 9430 9555 10073 10281 10315 10385 10904 10948 10953 11115
3256,96 544 790 1162 1678 2630 4207 4492 4551 4790 5055 5068 5173 5206 6053 6497 6748 6755 7532 7621 7706 8307 8477 10648
3855,4 460 651 1964 2184 2587 2762 2767 2774 2799 4105 4109 4112 4267 4434 4590 4997 5055 6053 6171 6405 6407 6497 6555 6747 6805 7532 7687 7706 8428 8806 9081 9256 10155 10268 10404 10772 10828 10975 11012
4889,53 254 540 581 661 843 963 1539 1964 2025 2211 2922 3722 4077 4483 4499 5189 5542 5900 6079 6331 6559 6962 6999 7706 7760 7817 7942 7957 8151 8428 8431 9024 9376 10073 10223 10255 10317 10600 10940 11195
5884,53 254 540 581 843 890 963 1964 2025 2556 2885 3067 3294 4077 4397 4499 4638 4854 5114 5189 6310 6331 6788 6962 6999 7121 7739 7760 7957 7999 8431 8818 9024 9341 9465 9669 9707 9816 9881 10073 10223 10317 10600 11195
6955,351 462 1045 1092 1162 1254 2145 2373 2514 2665 3309 4398 4530 5412 5557 6321 7241 7706 7926 8412 8421 8542 9452 9480 9555 9787 10073 10143 10231 10281 10522 10953 11140
8956,254 340 478 540 581 643 1964 2262 2885 4397 4492 4499 4638 5398 5771 6310 6746 7122 8284 8431 8439 8639 8760 9005 9024 9072 9245 9341 9465 9707 9816 9881 10317 10600 10940 11140 11195
9037,423 433 540 581 2101 2885 4397 4628 5398 5739 6643 6746 6915 7121 9376 9816 10113 10763 11140 11195
9537,53 146 544 694 799 868 963 1276 1654 1677 1888 1986 2474 2570 2885 4238 4609 4854 4871 5166 5335 5542 6788 6925 7536 7788 7862 8208 8424 8503 8549 8807 8858 8917 9028 9190 9647 9669 10073 10247 10315 10385 10991 11005
11594,254 340 469 540 581 958 1086 1951 1964 2211 2262 2885 3161 3722 3958 4397 4499 5739 6310 7739 8439 8818 9005 9072 9341 9465 9707 9816 9881 10073 10317 10927 11195
11849,2702 6039 8921 9572 11159 11193
12019,424 2885 3123 3427 3958 5739 6079 8009 8802 9734 10065
12436,424 2885 3123 3427 3958 5739 6079 8009 8802 9734 10065
12705,254 540 2101 2885 4397 4492 4499 4541 6643 6746 6962 7122 7817 8208 8431 8760 8818 9341 9816 10317 10600 11140
12842,53 96 167 249 423 460 601 613 651 694 1015 1162 1288 1498 1818 1964 2184 2211 2322 2587 2799 2949 3068 3156 3211 3334 3722 3821 3969 4105 4434 4499 4638 4748 4991 5068 5196 5383 5726 5804 5834 5895 6079 6171 6225 6310 6407 6497 6571 6574 6805 6903 6919 6920 7121 7359 7532 7552 7566 7687 7746 8229 8297 8428 8476 8590 8632 8743 8746 8806 8949 9024 9256 9376 9660 9892 9912 9980 10231 10255 10268 10317 10392 10404 10600 10621 10990 11012 11140 11242
