surveyId,predictions
642,10073 10082 10113 10116 1018 1020 10223 10255 10317 10600 10631 1086 11005 11078 1131 1170 1288 1466 1545 1716 1889 2025 2101 2211 2398 249 2490 254 2556 2570 2703 2955 2961 3177 3294 3722 3838 3958 4077 423 4349 4397 4483 4499 4628 4638 4707 4734 4779 4854 4871 4898 5015 509 5115 5149 5189 5218 53 5386 540 5542 5662 581 5928 6079 6097 6331 661 6625 6746 6750 6848 6900 6903 6915 6950 6962 6999 7052 7121 7122 7536 7739 7760 7817 7880 7957 8124 8428 843 8431 8439 8746 8760 8807 8818 890 9005 9024 9072 9080 9245 9376 958 963 9647 9707 9714 9816 9892
1792,10051 10073 10078 10100 10116 1014 1015 1018 10268 10271 10305 10315 10346 10392 10452 1051 10525 10595 10664 1086 10896 10904 1092 10988 10991 11037 11115 11120 11140 1151 12 1201 1222 130 1424 146 1497 1498 1525 1531 1654 1668 1736 178 1878 1951 1977 2019 204 207 2086 2106 2145 2146 2209 2211 2237 2248 2337 2373 2398 2492 2538 262 2732 2747 2776 2788 2885 300 3017 3020 3043 305 3140 3177 3181 320 3227 3275 3318 3347 3419 3427 3451 3457 3470 3471 3476 351 3540 3596 3623 3639 3744 3838 3879 392 3937 4008 4176 4228 4258 4381 4424 4483 4499 4508 4512 4609 4628 469 471 4734 4748 4758 4774 4871 4917 5069 5071 5114 5166 53 535 5400 5412 544 5483 5527 5533 5543 5557 559 581 5860 5969 5997 5999 6002 6067 6079 6091 6097 6136 6202 6240 6264 634 6358 639 6551 6574 6603 661 6611 6626 6634 6684 6689 6746 6759 6772 6788 6883 6925 6986 6989 7021 7115 7147 7210 7345 7410 7493 7536 7588 76 7679 7703 7706 7733 7748 7824 7837 7916 7972 800 8038 8076 8149 8151 8208 8231 8257 8316 8340 838 8424 8428 8431 8503 8508 8512 8535 855 8588 8632 8635 8654 87 8705 8760 8807 8811 8818 8858 8926 8983 9028 9053 9072 9088 9165 9190 9317 9388 9415 9467 9515 9541 9555 9568 958 9602 9610 9671 9714 9795 981 9858 9868 9875 9923
3256,10059 10155 1020 10247 10317 10318 10600 10648 10825 10946 11011 11116 11176 11242 1134 1162 1269 1288 1295 1355 1420 1445 1466 1678 1716 1831 1888 1889 1910 1995 2184 2211 2370 2560 2630 2961 3043 3097 3211 3374 3395 340 3447 3454 366 3722 383 3840 3961 404 4207 4434 4483 4551 4590 4712 4909 4946 4991 5024 5055 5068 5103 5173 5206 5218 53 5378 5383 5398 5422 5531 5602 5823 5981 5997 6053 6118 6168 6171 6424 6475 6497 6626 6748 6755 6759 69 7255 7330 7552 7619 7621 7666 7706 7716 7808 7817 790 7972 8033 8045 8229 8307 8353 8397 843 8528 8743 8818 8936 8949 9020 9147 9190 9204 9213 935 9368 9424 9560 96 9804 9826 9892
3855,10078 10155 10268 10288 10317 10404 10427 106 10600 10648 10828 10975 11012 1104 11054 1162 12 1445 181 1964 2097 2184 2234 2762 2767 2786 2933 3429 3430 3591 4 4105 4109 4112 4256 4267 4310 4551 4582 4590 460 4820 5454 5764 5803 5847 6053 6108 6171 6405 6407 6497 651 6555 6686 6747 7094 7097 7532 7552 7652 7687 7706 7995 7999 8164 8297 8397 8428 8705 8806 9040 9081 9256 9465 9660
4889,10073 10113 10218 10223 10255 10317 10427 10600 1086 10892 11078 1110 11140 11195 1539 1888 1889 1964 2009 2025 2142 2211 254 2556 2788 2823 2885 2922 2961 304 3092 3227 340 3438 3471 3581 3954 398 4102 423 4397 4492 4499 4609 4871 5189 5384 5386 540 5542 559 581 5854 5900 6079 6310 6331 6634 6643 6746 6788 6903 6962 6999 7121 7122 7333 7566 7706 7739 7760 7942 7978 8151 8284 8428 843 8431 8439 87 8746 8818 890 8923 9024 9072 9341 96 963 976 9881
5884,10073 10082 1018 10255 10274 10317 10385 10600 10631 10684 1086 10969 11005 11078 11140 11195 1180 1264 1539 171 1716 1951 1964 2025 2262 2308 2398 249 2490 254 2753 2823 2885 2955 2961 300 3037 3067 3151 3294 3541 3722 3838 3954 3958 4077 4397 4447 4499 4609 4628 4639 4671 4734 478 4871 5115 5189 5218 53 5383 5386 540 5542 581 6097 6153 6183 6310 6491 6551 6559 661 6643 6686 6788 6900 6915 6962 7121 7122 7333 7566 7739 7817 7942 7999 8151 843 8431 8439 8654 8746 8747 8760 8807 890 8908 9005 9024 9245 9465 9556 96 963 9647 9669 9707 9710 9816 989
6955,10073 1018 10231 1024 1028 10281 10315 10364 1045 10450 10522 10675 10695 10950 10953 115 1162 1254 130 1421 146 1534 1539 1666 1746 1757 1888 1986 2019 2145 2373 2474 2885 3451 3464 351 3792 3944 4530 476 5149 5185 522 53 5335 5412 5557 5895 5901 5969 6235 6264 6321 633 6374 7072 712 7241 7259 7322 7536 7566 7571 7706 7714 783 7862 7942 8208 8412 8424 8542 8573 8746 8983 8991 9028 9146 9442 9452 9555 960 9636 9647 9787 986 9873 9880 9997
8956,10024 10113 1018 10223 10274 10317 1037 10474 10969 11140 11195 1170 1180 1387 1455 1544 1654 1715 1910 1964 2101 2211 249 254 2885 2894 2922 3067 3123 3275 3294 3497 391 3958 3969 423 4279 4397 4492 4499 4598 4638 478 4854 5189 5398 540 5542 5739 5758 581 6079 6551 6643 6746 6900 6903 6915 6962 702 7047 7121 7122 7536 7760 7807 7808 7817 8125 8208 843 8431 8439 8639 8747 8760 8818 890 9024 9245 9376 9465 958 9580 9630 9707 9710 9816 9881
9037,10020 10274 10474 10684 10778 11140 11195 1170 1180 1264 1288 1378 1910 2101 2474 2788 2885 2922 3161 3275 3361 3534 3958 3969 423 4499 4638 5149 5901 6044 6310 643 6491 6643 6746 6915 6950 7121 7264 7536 7644 7808 8124 8208 8639 8747 8748 8818 9376 9465 958 9580 9816
9537,10145 10247 10385 10427 10600 10684 10874 10896 10991 11176 1139 1264 1276 1424 146 164 1677 1964 1986 2019 2109 2250 2348 2386 2474 2570 2788 2885 305 3177 3701 4238 4513 4609 4854 4871 5114 53 5335 544 5542 5745 6171 6551 6685 6689 6788 6925 694 6989 7040 7322 7536 7755 7837 7862 791 7971 7999 8208 8275 841 8424 868 8705 8807 9190 9261 963 9636 9647 9669
