surveyId,predictions
642,10024 10073 10223 10255 10317 10600 1086 11140 11195 1466 1910 1964 2211 254 2753 2885 423 4397 4483 4499 4638 478 4854 509 5189 540 6079 6310 6788 6962 7121 7739 7760 7942 8151 8208 843 8431 8746 8760 8807 8818 890 9072 9341 9376 9465 963 9707 9816
1792,10073 1015 1018 10315 10684 10904 1092 10953 11049 11115 1254 146 1668 2019 2492 262 320 3419 3451 351 3744 4258 462 5301 535 5412 5483 5543 5557 6067 6603 6788 6925 7571 7588 7971 8106 8208 838 8424 8858 9190 9261 9388 9555
3256,10155 10648 11116 1162 1678 1761 1831 2630 4207 4551 5850 5997 6053 6497 6748 6755 69 7621 7706 790 8397 8477 96 9804
3855,10404 10600 10772 11012 2184 2234 2762 2767 2799 4 4109 4112 4590 460 4997 6053 6171 6407 6497 651 6555 6747 7532 7687 8428 8806 9256
4889,10223 10255 10317 10600 11140 1889 1964 2025 254 3092 3722 4397 4483 4492 4499 4609 4638 5189 53 540 5542 581 5900 6331 661 6999 7760 7957 8151 8428 843 9024 9341 963
5884,10073 10223 10255 10317 10600 1086 11195 1889 1964 2025 2211 2308 254 3722 4397 4483 4499 5189 53 540 6310 661 6788 6962 7739 7760 7957 7999 8151 8428 843 8431 8807 8818 890 9024 9072 9341 9376 9465 96 963 9669 9816
6955,10073 10281 1045 10522 10953 1162 1254 1404 2145 2514 5412 5451 5557 6321 6412 7072 7241 7706 7926 8542 8746 9146 9442 9452 9555 9787
8956,10024 10317 10940 11195 1964 2211 254 2847 2885 3275 340 4397 4492 4499 4638 478 540 5771 581 6310 6643 6950 6962 7121 7122 7739 7760 8439 8760 9005 9024 9072 9245 9376 9465 958 9707 9816
9037,10073 10274 11140 11195 1378 3318 423 433 4397 6915 7121 9376 9816
9537,10247 10315 10385 10684 10896 10991 11005 1276 146 1654 1677 1888 1986 2474 2482 2570 305 3177 4238 4609 4854 4871 53 5335 544 6788 6925 694 7322 7536 7788 7862 8208 841 8424 8549 868 8807 9190 963 9647
