surveyId,predictions
642,7 392 783 981 1062 1757 1888 2538 2665 3318 3374 4549 5020 5103 5255 5400 5850 6626 6788 6837 7006 7345 7533 8297 
1792,812 1221 1253 1498 1780 2002 2370 2581 3125 3457 4102 4609 4886 4947 6245 6526 6633 6658 6915 6919 7469 7812 7926 8108 8428 8705 8904 9146 9165 9246 9777 9862 10148 10228 10896 11122 
3256,35 51 569 1221 1395 3351 3586 3597 4185 4997 5410 5411 6171 6551 6748 6915 6919 6920 7644 7707 7807 7817 7971 7990 8284 9143 9215 
3855,53 384 509 522 1054 1495 1525 1951 2101 2250 2580 2747 3318 3888 3907 4102 4998 5656 5745 5895 6405 6440 6529 6626 7687 7748 7807 8107 8257 8477 8654 8811 8976 9246 9415 
4889,423 1378 1677 2109 2989 3454 3701 4216 4469 5146 5383 5422 6358 6491 6880 7244 7255 7403 7746 7807 7988 8106 8219 8473 8590 8654 9190 9603 9710 
5884,544 783 944 1018 1028 1037 1062 1757 1888 2522 2538 2665 2777 3123 3318 3374 4483 4549 4748 4775 5255 
6955,355 569 799 1092 1139 1380 1472 1677 1757 1995 2110 2454 2482 2564 2783 2989 3109 3125 3624 4146 4202 5124 5166 5618 6226 6491 6567 6599 6612 6626 6689 6919 7410 7644 8542 9190 9963 10761 11176 11198 3419 2733 9787 10881 1715 35 
8956,800 944 1174 1677 2752 2852 2883 3125 4258 5124 5218 5739 5932 6171 6571 7666 8108 8215 8219 8503 8535 8590 9075 9190 
9037,544 783 1378 1466 1703 2189 2294 2921 4513 4671 5412 5434 5575 5612 6407 6626 7113 7190 7266 7410 7871 8329 8976 
9537,944 1018 1041 1062 1254 1380 1716 2303 2885 3838 3969 4333 4404 4719 4755 5053 5114 5124 5218 5295 5662 5832 6487 6557 7533 7552 7559 7644 7926 8055 8705 
11594,349 408 800 1180 1666 1705 1709 1869 2522 2788 2893 2969 4404 4898 4947 5114 5451 5749 5895 6571 6925 7746 8533 8654 9134 9515 9826 9856 10247 
11849,661 783 868 1380 1466 1525 2120 2294 2396 2702 3135 3559 3610 3969 4202 4229 4434 5124 5220 5932 6440 6612 6626 6792 6883 7193 7244 7817 
12019,171 392 550 633 976 1103 1378 1495 1519 1525 1986 2294 3722 3917 4775 5146 6026 6091 6208 6343 6384 
12436,171 392 550 633 976 1103 1378 1495 1519 1525 1986 2294 3722 3917 4775 5146 6026 6091 6208 6343 6384 
12705,1677 1805 1888 2145 2248 2294 2418 2665 2703 2847 2949 3375 6002 6571 6707 6784 7469 7739 7907 8055 8202 
12842,207 958 1060 1085 1226 1253 1380 1746 1752 2361 2490 2885 3021 3161 3677 3979 4122 4331 4854 4892 5103 5189 5275 5832 6091 
13429,35 546 1299 1380 1780 2002 2702 3722 4029 4202 4317 4341 4795 5093 5420 5832 5932 6254 6874 6925 7097 7469 8224 8542 9080 9467 10427 10753 11195 7644 11140 540 380 3738 3195 167 
