"proba", "voisins", "score"
0,2,0.16963
0,3,0.17308
0,4,0.17163
0,5,0.16954
0,8,0.16359	
0,10,0.15665	
0,15,0.14535	
0,20,0.13547	
0,30,0.12183	
0.1,2,0.16963	
0.1,3,0.17308	
0.1,4,0.17163	
0.1,5,0.16954	
0.1,8,0.16359	
0.1,10,0.19557	
0.1,15,0.18713	
0.1,20,0.20128	
0.1,30,0.20522
0.2,2,0.16963
0.2,3,0.17308
0.2,4,0.17163
0.2,5,0.1851
0.2,8,0.19742
0.2,10,0.2034
0.2,15,0.20562
0.2,20,0.2092
0.2,30,0.2162
0.3,2,0.16963
0.3,3,0.17308
0.3,4,0.17549
0.3,5,0.1851
0.3,8,0.19206
0.3,10,0.18729
0.3,15,0.19265
0.3,20,0.18606
0.2,30,0.1897
0.4,2,0.16963
0.4,3,0.153257
0.4,4,0.17549
0.4,5,0.15457
0.4,8,0.16813
0.4,10,0.15679
0.4,15,0.15539
0.4,20,0.15564
0.4,30,0.15194
