surveyId,predictions
642,6609
1792,634 838 1066 1626 2318 2396 3181 3419 3451 3457 3757 4258 4532 5483 5557 5630 6048 6067 6603 6968 7006 7571 7588 7871 8098 8275 9555 9671 10534 10953
3256,1162 1344 1875 2795 3429 4109 4207 4790 4994 6171 6254 6919 7167 7330 7532 8329 9213 10825 10929
3855,4 299 423 460 514 651 713 790 1216 1629 1711 1780 1882 2184 2433 2587 2644 2723 2762 2767 2774 2799 2949 3211 3277 3429 3451 3510 4105 4109 4112 4207 4337 4434 4590 4862 4994 4997 5053 5055 5454 5602 5804 5981 6053 6171 6370 6407 6497 6555 6588 6775 6805 6919 7167 7255 7471 7532 7552 7652 7687 7742 8164 8229 8297 8307 8329 8428 8782 8806 8992 9040 9081 9221 9244 9256 9456 9660 9962 9980 10155 10404 10427 10823 10867 11012 11054
4889,5189 6999 8428 10600
5884,843 963 5115
6955,39 82 115 351 462 636 1014 1028 1045 1162 1222 1254 1404 1869 1882 2122 2145 2146 2294 2361 2490 2492 2514 2891 3049 3309 3345 3429 3451 3944 4060 4358 5146 5147 5212 5411 5451 5543 5557 5723 6175 6321 6374 6487 6626 7053 7072 7080 7097 7241 7259 7310 7714 7812 7926 7963 8202 8340 8412 8421 8542 8660 8782 8860 9146 9158 9442 9452 9555 9633 9787 9795 9873 9880 10047 10143 10231 10281 10325 10340 10382 10450 10463 10522 10595 10874 10904 10953 11120 11230
8956,3913 6919 8329 9660
9037,433 441 735 2181 3360 3969 5204 7094 10007 10234 10278
9537,53 146 164 625 694 799 868 963 1020 1085 1276 1654 1677 1746 1888 1986 2109 2474 2482 2570 2810 3457 4609 5335 5447 5612 6118 6143 6171 6240 6599 6606 6685 6689 6788 6925 7410 7536 7788 7862 8055 8208 8275 8424 8503 8807 8917 9190 9204 9261 9647 9963 10247 10315 10385 10664 10762 10896 10991 11176
11594,300 1951 3161 4447 4499 4898 6950 7617
11849,553 628 1121 1160 1208 1842 2369 2643 2722 3109 3125 3195 3747 3893 4003 4087 4229 4368 4701 4702 5076 5665 6141 6836 7054 7199 7310 7749 7863 7868 8482 8921 9119 9353 9486 9565 9572 10686 10852 10947 11159
12019,9 424 989 994 1180 3427 5386 6079 7670 8009 8258 8747 8802 8882 9811 10065
12436,9 424 989 994 1180 1251 3427 5386 6079 8009 8258 8747 8882 9811 10065
12705,2744 5363 8818
12842,96 167 651 713 1292 1780 1964 2184 2644 2647 2650 2723 2767 2949 3156 3429 3722 4105 4109 4590 4748 5055 5073 5196 5383 5602 5804 6171 6497 6588 6805 6919 7471 7552 8229 8329 8428 8590 8992 9256 9660 10155 10317 11012
13429,949 1121 1195 1300 1531 2715 3125 3464 4087 4229 4368 4659 4773 5076 5203 5799 5876 6117 6152 6548 6902 7655 7749 7868 8921 9328 9877 11240
15914,76 146 164 384 811 981 1254 1276 1378 1497 1780 1794 2078 2122 2348 2386 2396 2474 2570 2723 2776 2949 3043 3049 3451 3457 3483 3661 4122 4238 4495 4558 4609 4871 5212 5412 5447 6118 6143 6208 6226 6599 6685 6689 6788 6909 6925 7065 7113 7536 7788 7837 7963 8208 8424 8503 8549 9190 9388 9647 9765 10222 10315 10385 10664 10683 10711 10762 10909 10991
16550,994 3361 3427 3701 5322 6839 8258 10065 10113
18511,311 494 1121 1160 1195 1531 2369 2643 3109 3125 3195 3508 4087 4229 4368 4701 4702 4892 5665 5982 6141 6152 6548 6836 6855 7199 7310 7576 7863 7868 8482 8921 9353 9486 9565 9877 10097 10166 10347 10686 10852 10947 11159
18734,311 494 553 1121 1160 1195 1208 1531 2356 2369 2643 2722 3109 3125 3195 3278 3893 4087 4229 4368 4701 4702 4892 5665 5982 6141 6152 6548 6836 6855 7199 7310 7576 7863 7868 8482 8921 9353 9486 9565 9877 10051 10097 10166 10340 10347 10686 10852 10947 11159
19026,643 1716 2922 3738 4735 5374 5400 7617 10113
21203,3100 7432 8258 10234 11158
21641,994 3427 4013 5651 6839 7432 8258 9416
21906,51 146 164 384 544 625 636 1254 1276 1473 1497 1539 1677 1995 2122 2474 2756 3043 3345 3374 3483 4122 4238 5335 5412 6118 6226 6606 6689 7113 7259 7395 7410 7536 7706 7788 7837 8089 8208 8340 8424 8782 8927 9190 9261 9415 9636 10664 10909 10991 11013 11120
22102,6491
23717,735 1018 1328 2744 3875 4628 5040 6002 6491 6626 10881
24689,96 129 1110 1715 2788 2894 3140 4499 4638 6900 7566 7808 8760 9024 9213 9610 9714 10113 10514
24920,39 53 164 299 394 457 544 625 633 713 799 843 963 976 1020 1192 1472 1654 1677 1707 1746 1780 1882 2025 2142 2398 2570 2723 2796 3245 3494 3597 3792 3885 4238 4558 5022 5383 5403 5422 5551 5932 6118 6143 6245 6461 6571 6574 6588 6599 6606 6788 7322 7403 7407 7423 7544 7640 7666 7807 7999 8038 8084 8217 8229 8275 8508 8573 8587 8590 8637 8807 8947 9028 9253 9647 9669 9963 10102 10247 10427 10497 10683 10800 10896 10991 11054 11176 11178
25437,76 146 180 694 868 960 981 1694 1889 2126 2474 2482 2752 2756 3020 3049 3457 3935 4498 4871 5412 5447 6154 6909 6925 7536 7788 8151 8208 9234 9388 9636 9647 10247 10315 10385 10909 11014
26098,628 2369 4368 4702 5203 5799 5907 6374 6569 8482 9565 10558 10852
26651,129 340 540 581 1455 3913 4492 4499 6310 6919 7122 7728 7880 8329 9707
27551,540 3913 10317
27567,81 840 1062 1736 3464 4029 5262 5537 5982 6117 6913 7748 9458 9572 9612
30973,
31970,514 713 790 1292 1295 1445 1780 1882 2184 2433 2767 3156 3429 4109 4317 4590 4712 4997 5055 5068 5196 6171 6254 6407 6497 6588 6747 6805 6877 7104 7471 7532 8229 8428 8782 8949 8992 9040 9244 9256 10102 10591 10823 11012
32178,1131 2308 2885 2922 3614 3875 5166 5398 6491 10927
32282,39 96 299 383 423 713 944 1086 1162 1711 1757 1780 1793 1882 1964 1995 2184 2516 2767 2799 2921 2949 3098 3510 4105 4109 4216 4560 4707 4734 4748 4862 5383 5422 5486 5656 5804 5832 5895 5932 6045 6143 6171 6240 6405 6444 6497 6498 6555 6588 6686 6919 7149 7338 7471 7532 7552 7566 7666 7706 7972 8038 8229 8275 8281 8375 8590 8782 8806 8949 9000 9024 9050 9076 9192 9244 9256 9376 9524 9556 9660 9694 9785 10102 10404 10427 10591 10838 11012 11054
32525,254 340 540 3913 6919 8439 10317
33904,53 963 3294 5189 5322 6079 6331 7957 10223 10600
33921,3375 4541 4711 5285 5519 5773 5980 6234 6643 7679 7790 8635 9674 10005
34778,82 449 628 982 1254 1276 2474 2539 3345 3758 3893 4326 4802 5212 5412 5635 6226 6689 7113 7211 9873 11013 11157
36216,254 300 6915
36737,148 351 712 1014 1028 1045 1162 1254 1404 1746 1882 1996 2145 2492 2514 2665 2891 3049 3429 3451 3944 3977 4398 4404 4924 4927 5147 5212 5301 5451 5543 5557 6143 6175 6321 6374 7241 7244 7310 7407 7903 7906 7972 8067 8229 8340 8412 8420 8421 8542 8660 8961 9158 9452 9555 9600 9633 9787 9795 9880 10143 10240 10340 10382 10419 10463 10522 10595 10899 11120 11230
36869,69 262 441 462 625 708 838 1066 1794 1999 2082 2110 2396 2492 2753 2840 2949 3419 3451 3494 3639 3744 4532 5483 5543 5557 5804 6002 6067 6143 6171 6603 6611 6759 6968 7006 7040 7065 7259 7580 7588 7871 7906 8237 8316 8340 8473 8508 8660 8670 9192 9317 9555 9765 9921 10078 10747 10762 10904 10948 10953 11014 11194
38125,1504 4397 6962 7450 10940
38812,146 164 694 791 963 1472 1539 1677 2474 2482 2570 2747 3457 4238 4609 4871 5335 5447 6118 6143 6599 6606 6684 6788 6925 7410 7536 7788 7862 8055 8208 8424 8917 9190 9204 9261 9388 9636 9647 9873 9963 10222 10247 10315 10385 11014 11120
39525,843 963 976 3092 5115 7942
39795,39 96 178 249 299 423 460 694 713 1054 1757 1780 1818 2184 2433 2810 2949 3451 3722 4105 4216 4560 4707 5383 5422 5804 5895 6091 6143 6171 6919 7115 7532 7552 7972 8229 8275 8329 8587 8590 9024 9076 9206 9256 9317 9376 9660 9892 10317 10591 10683 10823 11054 11140
40447,6999 9341
40597,
40845,3471 7122 7978 10255 10600 10940
41048,69 262 441 462 625 708 838 1066 1794 1999 2082 2110 2396 2492 2753 2840 2949 3419 3451 3494 3639 3744 4532 5483 5543 5557 5804 6002 6067 6143 6171 6603 6611 6759 6968 7006 7040 7259 7580 7588 7871 7906 8237 8316 8340 8473 8508 8660 8670 9192 9317 9555 9765 9921 10078 10747 10762 10904 10953 11014 11194
41209,3471
41369,1300 1531 1959 2031 2173 2243 2683 2715 2926 4130 4368 4659 5203 5799 5868 5876 6117 6374 6569 7090 7749 7863 8332 8661 8785 9328 9877 11222
41476,1131 1264 2398 5114 6788 8807 9548 9669 10896
41725,2744 4397 7450
42000,1208 1842 2243 2926 3881 4368 5203 7749 8332 8661 10852 11240
42935,1780 2433 4105 4109 4207 4930 5804 6143 6171 6444 6919 7525 7532 8089 8229 8307 8751 10485
44791,651 989 1715 3497 5115 5384 5386 6079 6999 7978 8057 9024 10223 10600
46094,76 146 180 320 636 694 1497 1757 2386 2474 2756 2772 3049 3457 3483 3935 4802 5412 6118 6226 6684 6689 6788 6909 6925 7113 7147 7395 7536 7544 7706 7788 8208 8340 8542 8917 9388 9636 9647 9873 10143 10315 10385 10762 10904 10909 11013 11014
47008,39 130 178 222 299 423 477 557 625 1086 1131 1757 1780 1793 1818 2078 2110 2184 2322 2433 2723 2949 3451 3596 4105 4216 4560 4707 5149 5265 5383 5422 5434 5764 5804 5932 6118 6143 6171 6208 6245 6370 6588 6686 6919 7115 7167 7423 7552 7972 8084 8089 8229 8275 8329 8508 8590 9000 9076 9206 9213 9253 9317 9376 9892 9921 9963 10047 10073 10545 10591 10823 11140
48669,39 53 130 164 384 625 799 811 963 1020 1254 1378 1497 1498 1677 1746 1780 2078 2177 2570 2678 2949 3451 3483 3792 4238 4495 4609 4871 5022 5093 5212 5335 5403 5542 6171 6240 6388 6606 6685 6689 6788 6980 7065 7113 7259 7322 7403 7407 7755 7788 7837 8089 8208 8424 8508 8573 8637 8770 8801 8949 9000 9190 9647 10315 10497 10591 10664 10683 10762 10896 11120 11176 11178
49000,311 400 494 812 1014 1121 1160 1195 1208 1531 1625 1842 1912 2245 2369 2722 3125 3195 3240 3324 3578 3747 3845 3893 3983 4087 4229 4349 4368 4702 4916 5203 5300 5528 5749 5868 6141 6152 6548 7090 7199 7671 7863 7868 8243 8287 8482 8579 8643 8786 8887 8921 8959 9107 9486 9565 9776 9877 10051 10097 10686 10852 11090 11159
49038,994 8258 8882 9416 9811 10249
49319,2744 3875 4027 4508 5203 5994 6491 6633
50057,69 262 441 462 625 708 838 1066 1794 1999 2082 2110 2396 2492 2753 2840 2949 3419 3451 3494 3639 3744 4532 5483 5543 5557 5804 6002 6067 6143 6171 6603 6611 6759 6968 7006 7040 7259 7580 7588 7871 7906 8237 8316 8340 8473 8508 8660 8670 9192 9317 9555 9765 9921 10078 10747 10762 10904 10953 11014 11194
51364,989 994 3427 6079 8009 8882 10065
51795,305 449 628 982 1152 1208 1736 1831 2369 2539 2634 2643 2764 2772 2932 3894 4003 4087 4169 4326 4368 4530 5054 5212 5249 5380 5412 5754 6039 7113 7211 7263 7310 7713 8340 8887 9458 9547 9688 9702 10108 10340 10686 10852
52317,963 981 1495 1888 2126 2474 4513 5071 5447 5542 6989 8151 9647 10247 10683
52326,76 146 180 694 960 1497 1677 2109 2177 2386 2474 2756 2772 3457 3483 3935 4498 5412 5447 5612 6143 6684 6909 6925 7536 7706 7788 8208 9636 9702 10247 10315 10762 10909 11014
52364,74 76 82 164 449 639 982 1121 1208 1473 1736 2386 2474 2634 2756 2764 2772 2932 3251 3374 3893 3894 3935 4003 4087 4122 4169 4326 4802 5212 5249 5380 5412 5474 6039 7113 7259 8340 8860 8887 9015 9458 10108 10143 10340 10711 10728 11013 11157 11193
52481,2744 3875 4027 4508 5166 5994 6491 6633
53300,623 2471 2908 3375 4541 5285 5519 5773 5980 6234 6643 7679 7790 8635 9674 10005 10637
54076,39 441 838 1066 1092 1139 1254 1668 2145 2492 2552 2569 2783 2840 2949 3488 3678 3757 4169 4711 4755 4820 5314 5412 5434 5543 5564 5575 6035 6048 6067 6208 6603 6611 6731 7113 7493 7588 7906 7916 8257 8316 8333 8503 8508 8525 8670 8673 8811 9317 9610 9765 10051 10525 10534 10587 10595 10965
54193,514 613 1292 2433 2786 2949 3197 3429 4109 4267 4712 5055 5804 6407 6497 6588 6805 7471 7532 7820 8163 8992 9213 9223 9256 9660 10648 11012
54624,963 1264 5745 6557 7669 7824 8807 11005
55644,625 791 944 963 981 1041 1363 1424 1677 1746 2122 2474 2747 3351 3917 3935 4146 4871 5612 6143 6487 6909 8106 8549 8705 9028 9647 9766 10367 10385 10484 10545 10896
56496,53 146 164 868 963 981 1677 1746 1888 2348 2386 2396 2474 2570 2810 3049 3457 3661 4609 4871 5093 5335 5447 6118 6143 6599 6689 6788 6925 7065 7113 7322 7788 7837 7862 8208 8424 8503 9028 9190 9261 9388 9647 10367 10385 10497 10965 10991
56887,169 958 1951 8760 9707 10024
58388,2126 3297 4498 5071 5447 5766 6331 7318 8151 10247 10255 10460 10683
60548,5384
60731,994 3427 6079 6559
61092,164 799 960 963 976 981 1085 1201 1264 1495 1677 1888 2109 2126 2189 2386 2474 2482 2543 2570 2678 3483 3701 4498 4871 5022 5071 5403 6118 6297 6557 6606 6788 6989 7755 8151 8208 8424 8503 8512 8587 8705 9261 9424 9493 9647 9669 9963 10247 10268 10315 10683 10896 10991 11176
61334,171 4397 5994
62643,300 2262 6900
62910,249 649 661 843 890 1086 2189 2961 3067 6331 6999 9024 9341 9881 10223 10600
63918,146 713 1092 1497 1711 1780 2396 2723 3021 3457 3597 4711 6048 6067 6171 6603 7113 7327 9765 10078 10463 10587 10591 10965
64178,164 544 661 811 960 963 976 981 1085 1378 1495 1780 1888 2189 2386 2474 2482 2570 2678 3374 3483 3581 3701 3888 4495 4498 4871 5022 5071 5403 6395 6557 7113 7322 7536 7628 7755 7788 7837 7963 8151 8208 8503 8508 8587 9388 9636 9647 9669 10071 10222 10247 10683 10711 10762 10991
64913,989 1180 9416
66097,424 994 1376 3427 6839 8258 8926 9416 9734 10113 11071
67733,625 636 1092 1254 1276 1497 1539 1986 2482 2772 2949 3043 3345 3374 3659 4238 5173 5412 5557 6388 6689 6945 7113 7395 7536 7706 7862 8202 8208 8340 8424 8917 8927 9234 9541 9636 10051 10364 10522 10595 10909 10953 10998 11013 11120
67998,129 254 340 478 1384 2101 2262 2621 3067 3161 3275 3471 4492 4499 6310 8760 9150 9213
68018,449 553 1685 1842 2386 2474 2764 4087 4349 4617 4947 4985 5868 7113 7259 7749 9862 10051 10143 10728 10803 10852 11132
68034,625 838 1015 1780 3419 5403 5483 5543 5557 6067 6143 6171 6208 6616 7060 7571 7588 8508 9921
69003,300 1951 2885 3161 6310 7617 9707 9816 10892
69099,39 164 625 636 799 811 876 960 981 1276 1497 1539 1619 1677 1831 1986 2122 2474 2564 2756 2810 3345 3374 3457 4026 4122 4513 5022 5335 5411 5412 5542 5612 5860 5969 6118 6171 6685 6689 6945 7113 7410 7755 8089 8340 8424 8508 8549 8782 8991 9415 9766 10047 10991 11120
70350,74 82 269 449 712 982 1208 1460 1519 1842 2245 2356 2386 2539 2643 2756 2811 2893 3125 3195 3324 3438 3533 3723 3845 3865 3893 3983 4003 4087 4122 4229 4368 4701 5076 5212 5249 5334 6141 6152 6855 7211 7244 7259 7295 7576 7671 7713 7749 7868 7906 7963 8482 8959 9107 9133 9134 9353 9458 9486 9547 9565 9572 9702 9771 9776 9862 10108 10133 10143 10728 10803 10852 10909 10950 11193
70662,2961 6999 9341
72103,963 981 1495 1888 2126 2474 2752 3701 4513 5071 5447 10228 10247 10683 11054
72786,204 222 625 694 1015 1131 1497 2110 2348 2723 2776 2949 3494 3533 3596 3639 4149 4605 4917 5400 5422 5447 6143 6446 6689 6759 6883 6986 7113 7423 7726 7742 8106 8542 9261 9415 9765 10047 10525 10762 10953 11120
72854,254 540 2110 6919 7728 8329
73272,1381 2356 4368 4702 6374 9234 10347
73905,3497 10940
74414,311 1195 1531 1842 1912 2369 2643 3125 3387 3578 3983 4087 4318 4368 4701 4702 5110 5754 5868 6141 6548 7310 7576 7868 8482 8921 9486 9565 10340 10686 10852 10947 11159
75195,5526
76085,989 2490 3151 8057 8748 8818 10600 10811
76528,10007 10223
76891,840 949 1069 2075 3465 3578 3983 4087 4368 4633 4702 4814 6141 6374 6548 6569 7211 7576 7863 8482 9234 9353 9547 10239 10632 10895
80169,2744 3214 4397 4854 5040 6746 7450
80467,76 82 449 553 1121 1208 1912 2474 2722 2772 2932 3195 3251 3324 3464 3736 3878 3893 3983 4003 4087 4169 4617 4719 4892 4916 5076 5212 5249 5314 5334 5474 5528 5982 6152 6548 6855 6909 7259 7310 7576 7628 7868 7906 8408 8482 8754 8887 8959 9015 9126 9353 9412 9458 9547 9565 9765 9776 9862 10108 10222 10305 10315 10340 10686 10715 10728 10852 11193
80514,74 449 553 887 982 1121 1160 1195 1208 1519 1625 1842 1912 1996 2245 2355 2369 2386 2539 2643 2722 2973 3125 3195 3324 3464 3865 3878 3893 3983 3999 4087 4229 4349 4368 4617 4653 4701 4702 4886 4892 4916 5076 5334 5749 5982 6141 6152 6560 6568 6666 6786 6855 6880 7008 7118 7199 7263 7576 7868 8391 8482 8643 8742 8921 9015 9107 9119 9486 9565 9654 9776 9862 10108 10166 10409 10558 10632 10686 10728 10852 10947 11159
80804,304 896 1539 2894 3227 3237 4492 4560 5322 6950 7333 7670 7728 8532 9486 9794 10218 10223 10284 10304
81526,433 2181 2875 3318 3360 3447 4013 4493 5520 6275 7094 8855 9416 10234 10752
81908,320 540 2146 2760 2949 4368 4633 4814 7726 8525 8737 9036 9388 9702 10347
82140,1131 1910 2308 4735 6634 6788 7617 8807
82897,304 540 875 1455 1539 2013 2644 3227 4492 5322 5771 7333 7670 7728 8177 8439 8532 8670 9794 10218 10223 10284 10304
83363,39 53 92 299 394 544 625 713 963 1020 1192 1472 1495 1707 1780 1793 1882 2025 2398 2474 2570 2723 2788 3494 3597 3823 3885 4238 4605 5022 5184 5403 5542 5551 6143 6171 6444 6574 6588 6606 6788 7403 7407 7423 7999 8084 8275 8508 8564 8587 8590 8807 8947 9028 9410 9647 9669 9963 10102 10247 10315 10497 10569 10896 10991 11054 11176
85499,963 1264 6557 8807
85744,558 636 639 876 1236 1254 1276 1473 1736 1882 2120 2634 2756 3043 3345 3937 4122 4495 4530 4802 5212 5249 5412 5969 6685 6689 6945 7113 7395 7706 8208 8333 8340 8754 8927 9458 9513 9541 10904 10909 10953 11013 11120 11157
86085,39 320 838 1092 1794 2086 2783 2969 3457 3470 3596 3878 4122 4169 4711 4758 5412 5434 5557 6048 6067 6925 7065 7113 7259 7837 7871 8106 8340 8503 8917 9388 9765 10047 10452 10463 10595 11120 11230
86312,5994
88358,305 982 1460 1912 2291 2311 2386 2722 2761 3020 4368 4633 4701 4702 5882 6141 6836 7211 7576 8482 9353 9547 9702 9875 9977 10051 10108 10133 10340 10852 10895
88734,4397 4711 6310 9245
88807,245 669 1000 1160 1174 1176 1300 1381 1531 1587 1692 2173 2243 2369 3125 3441 3464 3837 4302 4368 4659 4702 4916 5203 5799 5868 5876 5907 6117 6374 6569 7051 7090 7968 8243 8332 8482 9328 9565 9696 9820 9877 9974 10289 10523 10558 10993 11125 11147 11222
89191,304 961 2262 4492 4638 7333 7566 7808 8639 9024 9213 9881 9961 10223 10255 10600
89854,146 164 544 625 694 799 811 960 963 1020 1466 1495 1497 1498 1677 1888 2078 2337 2386 2474 2482 2570 2783 3177 3374 3885 4112 4341 4495 4498 4871 5173 5335 5403 5412 5422 6118 6240 6557 6606 6788 7040 7084 7113 7322 7536 7755 7788 7862 8208 8424 8503 8587 8801 9028 9261 9636 9647 10247 10315 10683 10711 10762 10801 10896 10909 10991 11176 11178
91065,494 628 1121 1160 1195 1208 1531 1625 1912 2369 2643 2722 3125 3195 3464 3747 3893 3971 4087 4229 4349 4368 4477 4701 4702 4892 5665 5749 5982 6141 6152 6836 6855 7118 7199 7310 7749 7868 8482 8643 8885 8921 9015 9486 9565 9877 10686 10852 10947 11159
91371,1504 2101 2262 2621 3109 4279 4447 5358 7617 8284 9005 9311 11195
92621,51 76 82 164 320 351 639 876 982 1014 1208 1254 1276 1736 2120 2294 2474 2539 2643 2756 3043 3251 3374 3400 3578 3893 3894 3935 4003 4122 4169 4326 4511 4530 5212 5249 5412 5635 6141 6685 7211 7259 7530 7628 8340 8482 8860 8887 8959 9134 9412 9541 9547 9702 9765 10340 10715 10909 10910 11157
93286,949 1195 2369 2386 2722 4013 4087 4169 4368 4633 4702 4814 5754 5882 6141 6548 6569 7211 7576 7863 8482 9234 9353 9547 9581 10305 10340 10632
94281,400 1121 1160 1195 1531 1625 2369 2643 3125 4087 4368 4701 4702 6141 6548 6836 7310 7868 8287 8482 9486 9565 9877 10097 10686 10852 10947
95767,39 636 1539 3451 4238 5255 6171 6574 7706 7755 8202 8208 8782 10047 11120 11230
97031,994 1539 3427 3701 5766 6079 8258 10065
97519,2 39 130 164 811 963 1831 1986 2078 2482 2778 3792 4513 4558 5173 5403 5542 6171 6388 6395 6689 7084 7407 7552 7755 8307 8329 8573 9000 10595 10683 11176 11178
97774,164 544 625 791 799 843 868 963 1020 1085 1472 1538 1654 1677 1746 1925 1986 2109 2142 2398 2474 2482 2570 3177 4609 4871 5114 6118 6143 6171 6388 6557 6599 6606 6788 6925 7065 7410 7669 7788 8055 8424 8503 8512 8564 8705 8807 9261 9548 9647 9669 9771 9963 10247 10315 10385 10896 10991 11005 11054 11120
98717,1121 1160 1531 1625 1912 2369 2643 3125 3195 3464 4087 4229 4368 4477 4701 4702 5982 6117 6141 6152 7310 7749 7868 8482 8643 8785 9486 9565 9877 10852 10947
100319,171 843 3757 5363 6962 10268
100802,840 949 2075 2291 2369 3578 3983 4013 4087 4368 4633 4702 4814 6141 6374 6548 6560 6569 7211 7576 7863 8482 9234 9353 9547 10239 10340 10632 10895
102099,1162 1344 1875 2795 3429 4109 4207 4790 4994 6171 6254 6919 7167 7330 7532 8329 9213 10825 10929
102354,254 1964 3067 3275 4499 6310
103486,76 146 180 694 960 981 1694 1856 2126 2189 2386 2474 2678 2756 3020 3049 3297 3457 3483 3888 4498 4871 5071 5412 5447 6297 6331 6684 6909 7113 7318 7410 7536 7706 7788 8151 8208 8330 8364 8792 8887 8959 10247 10315 10460 10909
103942,39 92 441 546 1139 1254 1472 1597 1851 2110 2396 2564 2764 2776 2844 3043 3530 3661 3823 4711 5146 5181 5314 5640 6118 6487 6634 7065 7475 7504 7708 7916 8424 8503 8917 9076 9261 9308 10525 10577 10587 10965 10991
104416,791
