surveyId,predictions
642,39 53 96 248 254 264 331 340 499 509 540 555 582 593 633 643 652 661 791 843 868 913 947 958 963 976 989 1027 1037 1086 1110 1131 1170 1222 1264 1288 1358 1455 1464 1472 1476 1504 1544 1654 1698 1703 1824 1884 1964 2013 2025 2118 2177
1792,12 28 30 35 39 59 69 75 76 82 130 146 171 183 203 204 207 209 262 269 272 275 282 305 320 331 351 355 365 380 392 408 441 462 469 471 499 515 522 534 546 574 625 634 652 681 687 708 751 786 838 841 856 945 947 950 989 998 1015 1020 1027 1032 1047 1051 1054 1066 1071 1092 1099 1124 1129 1131 1139 1140 1192 1201 1222 1223 1231 1234 1253 1254 1268 1358 1363 1386 1460 1464 1466 1475 1484 1498 1573 1597 1626 1627 1655 1668 1669 1678 1698 1780 1794 1850 1851 1862 1869 1892 1939 1944 1957 1958 1989 1996 2019 2063 2082 2096 2099 2106 2109 2125 2145 2146 2177 2181
3256,28 30 35 69 75 96 164 181 248 265 275 331 380 384 400 408 462 471 499 534 545 546 555 558 590 625 652 681 687 708 713 740 790 856 945 947 950 1027 1032 1050 1055 1071 1099 1110 1129 1134 1162 1168 1169 1192 1201 1215 1226 1231 1239 1253 1269 1344 1345 1355 1358 1390 1464 1466 1475 1498 1544 1587 1619 1624 1627 1655 1669 1678 1693 1698 1709 1780 1831 1842 1869 1871 1875 2019 2064 2078 2125 2177
3855,4 12 28 39 53 75 96 130 156 178 181 222 265 283 299 331 354 355 380 383 400 408 423 457 460 471 499 514 545 546 550 555 558 574 625 628 629 631 651 652 681 713 728 740 790 944 947 950 969 976 1015 1027 1028 1040 1047 1050 1054 1055 1060 1071 1092 1103 1104 1124 1129 1134 1139 1162 1192 1216 1222 1231 1234 1253 1269 1355 1358 1407 1460 1464 1475 1484 1573 1629 1655 1669 1693 1705 1711 1757 1780 1787 1793 1805 1818 1831 1850 1871 1882 1939 1944 2019 2064 2078 2082 2099 2118 2122 2125
4889,9 53 82 129 248 249 300 304 331 355 398 499 509 540 555 651 652 661 843 896 907 947 950 963 989 994 1027 1086 1110 1129 1170 1180 1384 1428 1460 1464 1539 1544 1655 1698 1757 1871 1889 2013 2025 2118 2125 2163
5884,39 53 75 129 254 264 331 499 509 631 651 652 661 687 843 947 963 976 989 1027 1037 1040 1085 1086 1110 1131 1151 1170 1180 1264 1268 1358 1421 1455 1464 1504 1544 1654 1698 1703 1715 1824 1884 1925 1964 2025 2064 2118
6955,12 15 39 51 67 74 75 76 82 115 130 148 154 164 203 204 222 269 272 299 305 310 323 331 351 354 355 365 381 392 400 449 457 462 471 495 499 509 522 544 545 555 558 574 617 625 628 633 636 639 652 681 687 701 712 740 751 783 787 811 821 838 846 856 877 906 944 945 947 950 986 1014 1018 1019 1024 1028 1032 1040 1045 1051 1054 1055 1060 1063 1092 1099 1103 1124 1134 1139 1162 1169 1174 1201 1222 1236 1254 1276 1299 1318 1328 1355 1358 1378 1390 1392 1397 1404 1407 1428 1431 1464 1473 1475 1490 1497 1498 1517 1534 1539 1587 1619 1629 1655 1659 1666 1668 1669 1698 1705 1712 1736 1746 1752 1757 1778 1780 1787 1794 1805 1818 1831 1842 1850 1851 1869 1882 1892 1894 1932 1939 1944 1986 1996 1999 2019 2036 2064 2078 2082 2109 2110 2118 2122 2125 2145 2146 2177
8956,9 32 35 53 129 248 254 264 274 331 340 423 478 499 540 581 643 651 652 843 896 947 1027 1040 1086 1110 1170 1222 1239 1284 1288 1384 1455 1464 1472 1504 1544 1698 1703 1715 1757 1889 1964 1995 2013 2025 2101 2110
9037,15 28 82 114 130 169 264 305 331 423 433 441 469 499 515 540 581 593 633 643 652 735 751 822 856 947 969 989 994 1007 1027 1038 1051 1071 1086 1129 1140 1157 1170 1173 1174 1189 1215 1222 1223 1252 1258 1376 1378 1397 1464 1476 1504 1544 1611 1698 1703 1716 1757 1794 1842 1858 1892 1893 1910 1939 1951 1989 1996 2027 2101 2106 2125 2181
9537,12 28 30 39 51 53 76 82 130 140 146 164 203 204 222 272 331 355 394 499 544 555 625 633 645 652 681 694 713 751 786 791 799 811 821 856 857 868 944 945 947 950 960 963 981 986 1019 1020 1027 1040 1054 1063 1068 1071 1085 1092 1124 1139 1140 1157 1192 1201 1254 1264 1276 1358 1378 1424 1428 1464 1466 1472 1475 1497 1498 1525 1538 1539 1597 1654 1655 1666 1669 1677 1746 1780 1787 1793 1850 1871 1888 1889 1892 1925 1944 1986 1995 2002 2078 2109 2118 2122 2125 2142 2159 2177
11594,9 32 82 87 129 169 171 249 254 300 304 331 340 394 433 478 540 555 559 581 593 633 643 649 652 661 822 843 875 890 907 947 958 969 976 989 1020 1027 1037 1038 1086 1110 1129 1131 1162 1170 1180 1189 1222 1223 1288 1328 1384 1387 1397 1421 1428 1464 1499 1504 1525 1544 1545 1611 1698 1716 1780 1824 1884 1910 1951 1964 2009 2013 2063 2101 2125 2163 2177
11849,51 74 75 76 82 154 180 203 204 269 272 305 311 320 331 351 400 462 476 494 499 542 545 553 555 574 628 639 652 687 701 751 812 856 877 887 906 913 945 947 949 950 982 999 1014 1027 1051 1062 1069 1071 1121 1140 1160 1168 1176 1195 1208 1222 1236 1284 1299 1300 1304 1314 1318 1350 1358 1386 1391 1392 1407 1428 1431 1460 1519 1534 1542 1619 1625 1666 1692 1698 1736 1749 1752 1753 1770 1794 1842 1892 1894 1903 1912 1932 1939 1989 1996 2031 2055 2063 2075 2082 2101 2120 2125
12019,9 96 226 264 331 349 424 499 582 638 652 856 896 947 969 989 994 1007 1027 1038 1040 1071 1129 1173 1180 1189 1251 1258 1309 1387 1397 1412 1464 1466 1539 1611 1698 1709 1795 1889 1939 1944 2125
12436,9 96 209 226 264 331 349 424 499 638 652 856 896 947 969 989 994 1007 1027 1038 1040 1071 1078 1129 1173 1180 1189 1251 1258 1275 1309 1387 1397 1412 1464 1466 1539 1611 1698 1709 1889 1939 1944 2106 2125
12705,15 75 96 264 300 331 423 495 499 509 540 623 652 661 890 947 958 961 1018 1027 1063 1129 1162 1192 1214 1231 1288 1358 1384 1387 1455 1464 1531 1698 1761 1824 1999 2110 2118 2122 2125 2163
12842,12 30 35 53 69 75 80 96 167 178 310 323 331 349 354 355 380 388 400 408 419 423 460 469 471 499 534 542 546 555 558 601 649 651 652 681 694 713 740 790 901 913 923 945 947 950 986 1015 1027 1028 1040 1041 1045 1054 1071 1092 1099 1103 1110 1129 1134 1139 1151 1162 1168 1169 1192 1201 1216 1226 1231 1253 1292 1355 1358 1390 1464 1466 1471 1475 1495 1498 1573 1587 1624 1655 1669 1698 1757 1778 1780 1793 1805 1818 1850 1862 1871 1892 1964 2002 2040 2063 2064 2082 2125
13429,28 29 30 51 75 76 181 203 209 236 245 265 269 272 311 320 331 351 461 476 494 499 545 578 628 639 652 751 795 812 856 857 877 887 902 906 947 949 950 969 982 1000 1014 1027 1062 1069 1071 1099 1121 1129 1160 1176 1195 1208 1222 1236 1299 1300 1318 1350 1358 1378 1391 1407 1416 1431 1460 1464 1471 1519 1531 1599 1625 1666 1692 1698 1736 1749 1770 1842 1892 1894 1903 1912 1922 1939 1944 1989 2075 2106 2125 2173
15914,12 28 30 35 39 51 53 69 74 75 76 82 130 140 146 154 164 167 181 203 222 249 272 305 320 323 331 351 354 355 380 384 392 394 457 462 469 471 477 499 509 515 522 542 544 550 555 558 574 625 628 633 652 681 694 708 751 787 799 811 838 856 868 906 944 947 950 960 963 981 996 1014 1019 1020 1027 1028 1032 1040 1045 1054 1068 1071 1092 1099 1119 1124 1133 1139 1140 1162 1169 1192 1201 1208 1222 1236 1253 1254 1276 1291 1328 1355 1378 1390 1397 1407 1424 1464 1466 1472 1475 1476 1495 1497 1498 1525 1534 1539 1587 1619 1654 1655 1666 1668 1669 1677 1698 1705 1709 1711 1746 1757 1758 1780 1787 1794 1805 1831 1850 1862 1869 1888 1889 1892 1944 1986 1989 1996 1999 2019 2078 2082 2106 2109 2122 2125 2126 2142 2177
16550,9 28 82 140 169 254 264 300 331 349 391 424 499 543 555 581 649 652 751 786 822 856 947 969 976 994 1007 1027 1071 1129 1131 1140 1157 1173 1180 1223 1251 1252 1258 1264 1358 1376 1386 1387 1397 1421 1464 1499 1539 1544 1611 1698 1716 1757 1758 1795 1858 1888 1893 1910 1924 1989 2106 2125 2163
18511,15 28 51 74 75 76 82 154 180 203 222 269 305 311 320 331 351 354 400 428 462 476 494 499 515 553 582 628 639 652 669 681 687 701 751 787 796 812 822 856 857 876 877 906 913 945 947 949 950 982 999 1019 1027 1054 1069 1071 1099 1121 1140 1160 1168 1174 1176 1195 1201 1208 1222 1299 1300 1350 1358 1390 1391 1407 1416 1428 1460 1519 1531 1534 1625 1666 1669 1685 1692 1698 1734 1736 1749 1752 1753 1767 1770 1831 1842 1862 1869 1892 1894 1903 1912 1932 1989 1996 2031 2063 2064 2075 2121 2125 2159 2173
18734,15 28 51 74 75 76 82 154 180 203 204 222 269 305 311 320 331 351 354 400 428 449 462 473 476 494 499 515 542 553 555 628 639 652 669 681 687 701 751 787 795 796 812 822 856 857 876 877 887 906 913 945 947 949 950 982 999 1000 1019 1027 1054 1069 1071 1099 1121 1140 1160 1168 1176 1195 1201 1208 1222 1299 1300 1350 1358 1378 1390 1391 1407 1416 1428 1460 1519 1531 1534 1625 1666 1669 1685 1692 1698 1734 1736 1752 1753 1767 1770 1831 1842 1862 1869 1892 1894 1903 1912 1922 1932 1989 1996 2031 2055 2063 2064 2075 2121 2125 2159 2173
19026,28 75 87 140 167 178 204 262 264 300 331 394 423 433 499 534 581 633 643 652 694 702 735 786 791 799 822 841 843 868 875 907 950 958 976 1018 1020 1027 1124 1129 1131 1140 1170 1192 1222 1223 1264 1284 1328 1346 1387 1397 1421 1428 1464 1475 1476 1525 1698 1703 1705 1707 1716 1746 1780 1824 1884 1893 1910 1951 1964 1996 2013 2025 2096 2101 2110 2125 2177
21203,28 82 254 331 424 499 555 649 652 751 786 856 969 994 1007 1027 1037 1038 1071 1129 1140 1157 1170 1173 1189 1258 1264 1358 1387 1397 1421 1464 1475 1476 1544 1611 1698 1758 1884 1893 2125 2181
21641,15 82 140 254 300 331 349 391 424 499 540 543 555 581 582 633 638 643 649 652 751 786 822 841 856 947 969 989 994 1007 1027 1038 1051 1071 1078 1085 1099 1129 1140 1170 1173 1180 1214 1258 1264 1358 1376 1387 1397 1421 1464 1499 1539 1544 1611 1654 1698 1716 1758 1795 1858 1888 1893 1910 1951 2106 2125
21906,28 30 39 51 75 76 82 130 146 164 203 204 222 249 272 305 310 320 323 331 355 380 384 394 408 441 457 469 471 499 503 509 522 544 545 555 558 569 625 628 633 636 638 639 652 681 687 694 751 799 811 838 868 876 944 947 950 960 981 986 1024 1027 1032 1040 1045 1054 1060 1068 1092 1099 1124 1129 1131 1139 1140 1169 1192 1201 1222 1236 1253 1254 1276 1328 1358 1363 1378 1424 1460 1464 1466 1472 1473 1475 1476 1495 1497 1498 1517 1525 1538 1539 1587 1619 1627 1654 1655 1669 1677 1685 1698 1705 1736 1746 1749 1757 1780 1787 1793 1818 1850 1862 1869 1871 1889 1892 1925 1944 1986 1989 1995 1996 1999 2002 2019 2036 2078 2120 2122 2125 2142 2146 2177
22102,28 35 75 114 203 204 209 249 254 264 304 305 331 340 499 515 540 593 652 735 812 822 856 947 950 1027 1071 1129 1140 1180 1192 1209 1328 1346 1358 1397 1428 1464 1476 1531 1698 1703 1716 1761 1884 1951 1999 2110 2125 2177 2181
23717,28 32 75 156 167 171 204 226 249 262 264 272 331 423 469 499 515 542 633 638 652 735 786 812 855 856 868 890 907 945 947 950 960 1014 1015 1018 1027 1063 1129 1131 1139 1214 1215 1222 1252 1288 1328 1346 1387 1428 1464 1472 1475 1476 1525 1531 1698 1703 1746 1818 1996 1999 2096 2101 2125 2163 2173 2177
24689,9 32 96 129 254 304 331 340 391 398 478 540 555 643 649 651 652 731 890 896 907 947 961 969 989 994 1018 1027 1037 1038 1040 1086 1110 1129 1162 1180 1223 1328 1384 1387 1428 1455 1464 1472 1504 1539 1544 1545 1698 1715 1761 1889 1951 1964 2009 2013 2125 2163
24920,12 28 30 39 51 53 69 130 139 146 164 178 248 274 275 299 323 331 354 355 380 392 394 419 457 471 495 499 503 509 522 534 542 544 546 550 555 557 574 593 601 625 633 638 652 681 694 713 791 799 811 843 846 855 944 945 947 950 960 963 976 986 1015 1019 1020 1027 1028 1040 1041 1054 1060 1071 1092 1130 1131 1139 1151 1157 1168 1170 1192 1201 1215 1226 1231 1254 1264 1284 1355 1358 1378 1380 1424 1428 1464 1466 1472 1475 1495 1497 1498 1525 1573 1597 1654 1655 1669 1677 1698 1707 1709 1746 1757 1767 1778 1780 1787 1793 1805 1850 1882 1888 1889 1892 1925 1932 1944 1989 2019 2025 2078 2082 2099 2109 2118 2122 2125 2142 2177
25437,30 67 69 76 82 130 140 146 156 180 269 272 305 320 331 342 384 471 499 544 559 639 652 661 694 708 751 786 799 838 855 856 868 947 950 960 981 1024 1027 1040 1085 1099 1119 1129 1139 1140 1152 1169 1189 1215 1222 1236 1318 1378 1392 1424 1464 1466 1473 1475 1476 1497 1498 1525 1539 1654 1655 1694 1770 1780 1856 1869 1871 1888 1889 1892 1932 1944 2036 2122 2125 2126
26098,12 15 28 67 75 76 114 139 154 203 204 245 264 269 305 331 351 432 473 499 515 542 555 582 628 639 652 669 687 701 708 751 796 856 877 887 906 945 947 949 950 969 982 1000 1027 1040 1062 1063 1069 1099 1129 1140 1160 1168 1176 1195 1201 1208 1222 1299 1300 1318 1350 1358 1390 1391 1407 1428 1431 1471 1475 1490 1531 1587 1625 1666 1669 1692 1698 1702 1712 1734 1749 1770 1869 1894 1912 1944 1959 1989 2004 2031 2055 2063 2075 2096 2125 2173
26651,9 32 35 129 169 249 254 264 274 316 331 340 423 433 478 499 540 555 581 643 651 652 843 896 947 958 1027 1040 1086 1168 1170 1239 1284 1288 1384 1455 1464 1504 1544 1698 1715 1757 1818 1889 1964 1995 2009 2013 2110
27551,32 35 169 171 204 254 264 331 340 423 478 540 545 555 652 661 702 843 890 947 1018 1027 1086 1170 1288 1328 1397 1421 1424 1428 1460 1472 1476 1504 1544 1678 1698 1703 1715 1889 1964 1995 2101 2110 2125
27567,12 29 51 75 76 81 154 181 203 248 269 311 320 331 354 462 476 494 495 499 515 542 545 555 578 628 652 687 701 751 831 840 856 857 877 887 906 947 949 950 999 1000 1019 1027 1062 1069 1129 1160 1176 1201 1208 1236 1258 1288 1299 1300 1304 1318 1358 1391 1407 1416 1431 1460 1475 1519 1531 1666 1669 1685 1692 1736 1752 1753 1770 1831 1842 1869 1871 1912 1922 1939 1944 1946 1989 2063 2064 2075 2099 2106 2125 2145 2173
30973,32 96 169 249 254 264 300 331 340 423 433 478 499 540 555 623 643 652 694 907 958 961 989 1018 1027 1037 1040 1051 1086 1129 1131 1168 1170 1214 1222 1284 1288 1397 1455 1464 1499 1504 1525 1544 1545 1698 1703 1715 1716 1761 1818 1884 1951 1964 1996 1999 2063 2101 2118 2125 2163
