surveyId,Elevation
212,47.0
222,6.0
243,10.0
324,116.0
333,84.0
391,7.0
410,219.0
489,1417.0
590,7.0
607,7.0
662,10.0
664,51.0
729,26.0
744,11.0
769,41.0
772,73.0
779,104.0
841,8.0
863,8.0
878,490.0
970,363.0
980,89.0
1004,8.0
1129,7.0
1149,6.0
1186,22.0
1191,797.0
1218,138.0
1264,9.0
1386,46.0
1393,68.0
1573,4.0
1650,8.0
1682,12.0
1741,41.0
1789,25.0
1873,11.0
1886,8.0
1910,1.0
1972,6.0
1981,8.0
2015,158.0
2018,69.0
2037,90.0
2041,38.0
2092,6.0
2106,48.0
2163,10.0
2231,34.0
2272,3.0
2334,31.0
2384,657.0
2436,21.0
2439,124.0
2472,9.0
2482,1398.0
2582,32.0
2599,225.0
2627,2007.0
2641,9.0
2673,11.0
2705,105.0
2734,340.0
2808,6.0
2830,33.0
2844,437.0
2900,52.0
2966,17.0
3014,258.0
3078,648.0
3097,153.0
3129,27.0
3145,50.0
3163,110.0
3251,91.0
3260,45.0
3367,78.0
3394,5.0
3441,20.0
3445,50.0
3476,8.0
3547,46.0
3740,17.0
3782,204.0
3803,54.0
3919,10.0
3930,7.0
3962,44.0
4006,14.0
4016,12.0
4061,9.0
4210,27.0
4211,8.0
4231,61.0
4242,74.0
4308,36.0
4399,29.0
4414,142.0
4437,322.0
4469,7.0
4480,25.0
4486,589.0
4517,15.0
4544,658.0
4663,9.0
4803,883.0
4846,19.0
4858,13.0
4896,52.0
4898,8.0
4962,13.0
4970,34.0
4983,50.0
5041,12.0
5128,13.0
5165,6.0
5188,623.0
5200,12.0
5228,608.0
5238,6.0
5244,61.0
5268,7.0
5310,9.0
5316,7.0
5338,9.0
5402,29.0
5459,6.0
5462,50.0
5606,13.0
5666,74.0
5705,108.0
5719,421.0
5844,18.0
5862,7.0
5986,13.0
5987,18.0
6051,11.0
6166,12.0
6296,32.0
6351,63.0
6412,8.0
6602,46.0
6621,313.0
6632,9.0
6660,5.0
6680,23.0
6811,40.0
6833,21.0
6841,13.0
6876,6.0
6934,1.5
6974,52.0
7135,9.0
7137,83.0
7219,170.0
7270,29.0
7271,9.0
7394,1053.0
7407,11.0
7421,990.0
7508,7.0
7553,19.0
7569,8.0
7724,11.0
7770,223.0
7917,905.0
7930,7.0
7950,135.0
8036,11.0
8058,7.0
8075,10.0
8125,38.0
8262,86.0
8291,6.0
8325,46.0
8378,12.0
8381,21.0
8399,14.0
8411,7.0
8422,6.0
8423,301.0
8617,8.0
8645,20.0
8655,16.0
8669,92.0
8698,21.0
8708,699.0
8710,47.0
8886,13.0
8991,10.0
8998,5.0
9029,12.0
9036,5.0
9038,28.0
9063,84.0
9078,26.0
9112,10.0
9129,938.0
9168,8.0
9198,131.0
9202,9.0
9274,24.0
9472,111.0
9483,18.0
9512,181.0
9529,333.0
9576,154.0
9628,70.0
9699,484.0
9786,175.0
9794,16.0
9805,938.0
