surveyId,LandCover
212,8.0
222,12.0
243,5.0
324,14.0
333,14.0
391,14.0
410,5.0
489,10.0
590,9.0
607,9.0
662,12.0
664,4.0
729,5.0
744,14.0
769,9.0
772,12.0
779,5.0
841,12.0
863,9.0
878,8.0
970,5.0
980,12.0
1004,12.0
1129,9.0
1149,17.0
1186,9.0
1191,5.0
1218,9.0
1264,12.0
1386,5.0
1393,12.0
1573,17.0
1650,13.0
1682,9.0
1741,9.0
1789,1.0
1873,5.0
1886,9.0
1910,11.0
1972,13.0
1981,9.0
2015,8.0
2018,4.0
2037,10.0
2041,5.0
2092,9.0
2106,12.0
2163,9.0
2231,5.0
2272,9.0
2334,9.0
2384,8.0
2436,12.0
2439,5.0
2472,12.0
2482,5.0
2582,12.0
2599,9.0
2627,10.0
2641,12.0
2673,12.0
2705,10.0
2734,5.0
2808,12.0
2830,9.0
2844,5.0
2900,12.0
2966,12.0
3014,8.0
3078,5.0
3097,9.0
3129,13.0
3145,14.0
3163,14.0
3251,13.0
3260,9.0
3367,5.0
3394,9.0
3441,12.0
3445,9.0
3476,17.0
3547,5.0
3740,12.0
3782,12.0
3803,14.0
3919,9.0
3930,10.0
3962,14.0
4006,9.0
4016,12.0
4061,12.0
4210,12.0
4211,9.0
4231,10.0
4242,14.0
4308,14.0
4399,9.0
4414,8.0
4437,4.0
4469,14.0
4480,12.0
4486,5.0
4517,9.0
4544,10.0
4663,12.0
4803,9.0
4846,9.0
4858,10.0
4896,12.0
4898,9.0
4962,9.0
4970,12.0
4983,9.0
5041,12.0
5128,14.0
5165,9.0
5188,5.0
5200,12.0
5228,5.0
5238,17.0
5244,12.0
5268,9.0
5310,11.0
5316,13.0
5338,9.0
5402,9.0
5459,9.0
5462,5.0
5606,10.0
5666,12.0
5705,12.0
5719,4.0
5844,1.0
5862,13.0
5986,17.0
5987,11.0
6051,5.0
6166,11.0
6296,10.0
6351,5.0
6412,17.0
6602,9.0
6621,12.0
6632,14.0
6660,9.0
6680,9.0
6811,8.0
6833,17.0
6841,10.0
6876,17.0
6934,17.0
6974,12.0
7135,10.0
7137,9.0
7219,10.0
7270,1.0
7271,12.0
7394,10.0
