,patchID,speciesId,dayOfYear,lon,lat,x_EPSG3035,y_EPSG3035,year,dataset,geoUncertaintyInM,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bdod,cec,cfvo,clay,nitrogen,phh2o,sand,silt,soc,landCov,Built1994,Lights1994,NavWater1994,Built2009,Lights2009,NavWater2009,Popdensity1990,Popdensity2010,Railways,Roads
0,55880,"[9562, 2546, 1745, 2871, 9886, 7522, 6755, 7622, 6998, 9558, 7173, 7551, 2918, 6771, 5944, 933, 9146, 8069, 5858, 8378, 6759, 8602, 1790, 821, 8756, 6372, 1825, 8402, 3571, 5404]",126,4.74408,44.2037,3900369.0,2358486.0,2020,CBNMed,10.0,2878,95,3.32999992370605,6635,3032,2747,285,2880,2967,2967,2795,7574,1057,379,367,2955,1284,1284,1559,142.439041137695,192.611618041992,173.934844970703,244.970306396484,184.283294677734,75.1671829223633,379.648071289062,374.968933105469,226.862243652344,1,0.0,7.0,0.357576608657837,10.0,8.0,0.357576608657837,6.0,6.0,0.0,1.62954795360565
1,55897,"[1602, 7734, 4904, 2871, 8023, 7449, 7760, 5400, 437, 6060, 1790, 265, 6895, 9753, 5404]",126,4.74436,44.2041,3900395.0,2358529.0,2020,CBNMed,10.0,2878,95,3.32999992370605,6635,3032,2747,285,2880,2967,2967,2795,7574,1057,379,367,2955,1284,1284,1559,142.439041137695,192.611618041992,173.934844970703,244.970306396484,184.283294677734,75.1671829223633,379.648071289062,374.968933105469,226.862243652344,1,0.0,7.0,0.357576608657837,10.0,8.0,0.357576608657837,6.0,6.0,0.0,1.62954795360565
2,55942,"[4355, 7477, 232, 6755, 7622, 3019, 4253, 4615, 7551, 2918, 5111, 8378, 6759, 3421, 2702, 1253, 6417, 821, 8756, 6126, 5404, 244]",126,4.74519,44.2036,3900457.0,2358469.0,2020,CBNMed,10.0,2878,95,3.32999992370605,6635,3032,2747,285,2880,2967,2967,2795,7574,1057,379,367,2955,1284,1284,1559,142.439041137695,192.611618041992,173.934844970703,244.970306396484,184.283294677734,75.1671829223633,379.648071289062,374.968933105469,226.862243652344,1,0.0,7.0,0.357576608657837,10.0,8.0,0.357576608657837,6.0,6.0,0.0,1.62954795360565
3,56533,"[3281, 7896, 2546, 4965, 4442, 2918, 9170, 8970, 8378, 8824, 9180]",126,4.75466,44.2193,3901329.0,2360153.0,2020,CBNMed,10.0,2876,95,3.32999992370605,6614,3031,2746,285,2879,2965,2965,2794,7825,1090,397,363,3037,1343,1343,1603,139.343963623047,201.281234741211,184.239105224609,223.070510864258,221.73095703125,73.1087341308594,378.273559570312,398.929901123047,255.015319824219,8,0.0,4.0,0.144801259040833,0.0,5.0,0.144801259040833,6.0,6.0,0.0,0.852497637271881
4,56759,"[1344, 6501, 7896, 4965, 7090, 9595, 2502, 9509, 5173, 3019, 7551, 3765, 9170, 544, 8970, 8824, 1593, 4743, 6652, 9556, 566, 4656, 4675, 7186, 4966, 7614]",126,4.75755,44.2136,3901518.0,2359506.0,2020,CBNMed,10.0,2877,95,3.32999992370605,6635,3031,2746,285,2879,2966,2966,2794,7736,1077,391,364,3007,1322,1322,1586,145.295364379883,195.884704589844,171.115875244141,234.305282592773,195.522888183594,74.028190612793,382.905090332031,382.355529785156,241.613922119141,8,0.0,4.0,0.144801259040833,0.0,5.0,0.144801259040833,6.0,6.0,0.0,0.852497637271881
5,56795,"[2546, 9196, 574, 6755, 7622, 3019, 2032, 4615, 7551, 4924, 9820, 8069, 8378, 6759, 6305, 4464, 6817, 821, 6126, 5404, 640]",139,4.75782,44.2061,3901484.0,2358674.0,2020,CBNMed,10.0,2877,95,3.33999991416931,6623,3031,2746,285,2879,2966,2966,2794,7665,1068,385,366,2985,1303,1303,1575,143.176849365234,193.318496704102,169.244293212891,248.352310180664,174.239379882812,75.4338226318359,380.204315185547,370.591522216797,246.518783569336,1,0.0,3.0,0.0714894384145737,0.0,5.0,0.0714894384145737,6.0,7.0,0.0,0.526984035968781
6,56950,"[7617, 4976, 4442, 6755, 7090, 2502, 4423, 5173, 7055, 5944, 8069, 6759, 7778, 566, 4675]",126,4.76029,44.2131,3901733.0,2359435.0,2020,CBNMed,10.0,2876,95,3.32999992370605,6614,3031,2746,285,2879,2965,2965,2794,7811,1086,396,363,3030,1339,1339,1598,145.097396850586,200.240020751953,162.433349609375,223.302047729492,203.218109130859,73.0664443969727,391.022430419922,385.920227050781,227.045989990234,8,0.0,4.0,0.144801259040833,0.0,5.0,0.144801259040833,6.0,6.0,0.0,0.852497637271881
7,57016,"[1602, 6408, 2557, 4291, 5959, 4885, 8935, 3823, 4425, 7449, 3753, 3994, 8987, 265, 6361, 6361, 2854, 9753, 7276, 1661]",126,4.76138,44.2104,3901800.0,2359130.0,2020,CBNMed,10.0,2876,95,3.32999992370605,6614,3031,2746,285,2879,2965,2965,2794,7811,1086,396,363,3030,1339,1339,1598,145.097396850586,200.240020751953,162.433349609375,223.302047729492,203.218109130859,73.0664443969727,391.022430419922,385.920227050781,227.045989990234,1,0.0,3.0,0.0714894384145737,0.0,5.0,0.0714894384145737,6.0,7.0,0.0,0.526984035968781
8,57158,"[1602, 7734, 9196, 3781, 2871, 5338, 7522, 9509, 4885, 7449, 7792, 1916, 3994, 8987, 1790, 265, 6361, 4836, 5404]",126,4.76324,44.2119,3901960.0,2359286.0,2020,CBNMed,10.0,2876,95,3.32999992370605,6614,3031,2746,285,2879,2965,2965,2794,7811,1086,396,363,3030,1339,1339,1598,145.097396850586,200.240020751953,162.433349609375,223.302047729492,203.218109130859,73.0664443969727,391.022430419922,385.920227050781,227.045989990234,8,0.0,3.0,0.0714894384145737,0.0,5.0,0.0714894384145737,6.0,7.0,0.0,0.526984035968781
9,57159,"[2546, 2502, 9509, 9170, 544, 8970, 8378, 6759, 4883, 1826, 7614]",126,4.76324,44.2131,3901969.0,2359419.0,2020,CBNMed,10.0,2876,95,3.32999992370605,6614,3031,2746,285,2879,2965,2965,2794,7811,1086,396,363,3030,1339,1339,1598,145.097396850586,200.240020751953,162.433349609375,223.302047729492,203.218109130859,73.0664443969727,391.022430419922,385.920227050781,227.045989990234,8,0.0,4.0,0.144801259040833,0.0,5.0,0.144801259040833,6.0,6.0,0.0,0.852497637271881
