"patchID";"dayOfYear";"speciesId";"n"
105905;4;265;4
105905;4;268;1
105905;4;271;2
105905;4;439;6
105905;4;751;2
105905;4;905;3
105905;4;966;4
105905;4;1122;3
105905;4;1224;2
105905;4;1303;1
105905;4;1559;1
105905;4;1957;1
105905;4;2071;1
105905;4;2854;2
105905;4;3207;6
105905;4;3384;2
105905;4;3947;1
105905;4;4062;37
105905;4;4269;1
105905;4;4501;3
105905;4;5022;1
105905;4;5113;2
105905;4;5400;5
105905;4;5793;1
105905;4;6510;4
105905;4;6612;12
105905;4;6895;3
105905;4;6922;1
105905;4;7519;1
105905;4;7580;1
105905;4;7760;2
105905;4;8023;2
105905;4;8196;1
105905;4;8267;1
105905;4;8586;1
105905;4;8791;1
105905;4;8994;1
105905;4;9170;1
105905;4;9240;3
105905;4;9315;1
105905;4;9509;4
105905;4;9753;6
105905;4;9761;1
105905;4;9807;4
105905;4;9983;3
106002;4;265;5
106002;4;268;1
106002;4;271;2
106002;4;439;8
106002;4;751;2
106002;4;905;3
106002;4;966;4
106002;4;1122;3
106002;4;1224;2
106002;4;1303;1
106002;4;1559;1
106002;4;1654;2
106002;4;1957;1
106002;4;2071;1
106002;4;2854;2
106002;4;3207;6
106002;4;3384;2
106002;4;3947;2
106002;4;4006;1
106002;4;4062;27
106002;4;4269;1
106002;4;4501;3
106002;4;5022;1
106002;4;5113;2
106002;4;5400;3
106002;4;5793;1
106002;4;6510;5
106002;4;6612;25
106002;4;6895;3
106002;4;6922;1
106002;4;7519;1
106002;4;7580;1
106002;4;7760;2
106002;4;8023;2
106002;4;8196;1
106002;4;8267;1
106002;4;8586;1
106002;4;8791;1
106002;4;8994;1
106002;4;9240;3
106002;4;9315;1
106002;4;9509;4
106002;4;9753;4
106002;4;9761;1
106002;4;9807;5
106002;4;9983;2
106022;4;265;4
106022;4;268;1
106022;4;271;2
106022;4;439;8
106022;4;905;3
106022;4;966;4
106022;4;1122;2
106022;4;1224;2
106022;4;1303;1
106022;4;1654;2
106022;4;1957;1
106022;4;2854;2
106022;4;3207;6
106022;4;3384;2
106022;4;4006;1
106022;4;4062;22
106022;4;4269;1
106022;4;4501;3
106022;4;5022;1
106022;4;5113;2
106022;4;5400;3
106022;4;5793;1
106022;4;6510;5
106022;4;6612;25
106022;4;6895;3
106022;4;6922;1
106022;4;7580;1
106022;4;7760;2
106022;4;8023;2
106022;4;8196;1
106022;4;8586;1
106022;4;8791;1
106022;4;8994;1
106022;4;9240;3
106022;4;9315;1
106022;4;9509;4
106022;4;9753;4
106022;4;9761;1
106022;4;9807;3
106022;4;9983;2
106070;4;265;5
106070;4;268;1
106070;4;271;2
106070;4;439;8
106070;4;751;2
106070;4;905;3
106070;4;966;4
106070;4;1122;2
106070;4;1224;2
106070;4;1303;1
106070;4;1559;1
106070;4;1654;2
106070;4;1957;1
106070;4;2071;1
106070;4;2854;2
106070;4;3207;6
106070;4;3226;1
106070;4;3384;2
106070;4;3947;2
106070;4;4006;1
106070;4;4062;28
106070;4;4269;1
106070;4;4501;4
106070;4;5022;1
106070;4;5113;3
106070;4;5170;1
106070;4;5400;3
106070;4;5793;1
106070;4;6510;5
106070;4;6612;26
106070;4;6895;3
106070;4;6922;1
106070;4;7519;1
106070;4;7580;1
106070;4;7760;2
106070;4;8023;2
106070;4;8196;1
106070;4;8267;1
106070;4;8586;1
106070;4;8791;1
106070;4;8994;1
106070;4;9240;3
106070;4;9315;1
106070;4;9334;1
106070;4;9509;4
106070;4;9753;3
106070;4;9761;1
106070;4;9807;6
106070;4;9983;2
106159;4;265;4
106159;4;271;2
106159;4;439;4
106159;4;751;4
106159;4;905;2
106159;4;916;1
106159;4;966;2
106159;4;1122;7
106159;4;1303;1
106159;4;1559;3
106159;4;1654;8
106159;4;1957;1
106159;4;2071;3
106159;4;2854;2
106159;4;3207;3
106159;4;3226;1
106159;4;3349;1
106159;4;3384;2
106159;4;3753;8
106159;4;3947;4
106159;4;4006;1
106159;4;4062;20
106159;4;4269;1
106159;4;4358;1
106159;4;4501;18
106159;4;4790;1
106159;4;5022;1
106159;4;5030;4
106159;4;5076;2
106159;4;5113;2
106159;4;5170;6
106159;4;5400;2
106159;4;5574;1
106159;4;6081;1
106159;4;6454;1
106159;4;6510;5
106159;4;6612;30
106159;4;6922;5
106159;4;7427;1
106159;4;7519;1
106159;4;7580;2
106159;4;7663;1
106159;4;7760;1
106159;4;7868;1
106159;4;8168;1
106159;4;8196;1
106159;4;8267;1
106159;4;8471;1
106159;4;8586;1
106159;4;8756;1
106159;4;8791;1
106159;4;8994;3
106159;4;9170;1
106159;4;9315;1
106159;4;9334;1
106159;4;9475;2
106159;4;9509;3
106159;4;9656;7
106159;4;9753;5
106159;4;9761;1
106159;4;9807;10
106159;4;9983;4
106191;4;265;4
106191;4;271;2
106191;4;439;4
106191;4;751;4
106191;4;905;3
106191;4;966;2
106191;4;1122;4
106191;4;1224;2
106191;4;1303;1
106191;4;1559;1
106191;4;1654;8
106191;4;1957;1
106191;4;2071;1
106191;4;2854;2
106191;4;3207;2
106191;4;3226;1
106191;4;3384;2
106191;4;3947;3
106191;4;4006;1
106191;4;4062;19
106191;4;4269;1
106191;4;4358;1
106191;4;4501;3
106191;4;4790;1
106191;4;4904;2
106191;4;5022;1
106191;4;5030;1
106191;4;5113;2
106191;4;5170;1
106191;4;5400;5
106191;4;5793;1
106191;4;6081;1
106191;4;6510;6
106191;4;6612;30
106191;4;6895;1
106191;4;6922;1
106191;4;7519;1
106191;4;7580;1
106191;4;7760;1
106191;4;7868;1
106191;4;8023;1
106191;4;8196;1
106191;4;8267;1
106191;4;8308;1
106191;4;8586;1
106191;4;8791;1
106191;4;8994;3
106191;4;9315;1
106191;4;9334;1
106191;4;9509;4
106191;4;9753;4
106191;4;9761;1
106191;4;9807;6
106191;4;9983;1
3011991;13;268;3
3011991;13;1706;1
3011991;13;4774;1
3011991;13;4961;1
3011991;13;5986;1
3011991;13;6060;1
3011991;13;8141;1
3011991;13;9413;3
3011991;13;9858;1
3017563;13;254;1
3017563;13;2223;1
3017563;13;4715;1
3010938;14;196;1
3010938;14;996;1
3010938;14;1874;1
3010938;14;2193;1
3010938;14;2627;1
3010938;14;4397;1
3010938;14;9988;1
3012761;14;4572;1
3017187;14;265;5
3017187;14;268;2
3017187;14;520;1
3017187;14;1404;3
3017187;14;1790;1
3017187;14;2193;1
3017187;14;2383;3
3017187;14;2460;1
3017187;14;2834;4
3017187;14;3307;1
3017187;14;3753;1
3017187;14;4213;1
3017187;14;4425;2
3017187;14;4644;2
3017187;14;4870;1
3017187;14;5017;1
3017187;14;5400;1
3017187;14;5404;2
3017187;14;5996;1
